Year,Value,Units,Series
2000,1473.01,Millions de tonnes métriques,Empreinte matérielle
2001,1423.17,Millions de tonnes métriques,Empreinte matérielle
2002,1469.28,Millions de tonnes métriques,Empreinte matérielle
2003,1460.45,Millions de tonnes métriques,Empreinte matérielle
2004,1556.07,Millions de tonnes métriques,Empreinte matérielle
2005,1525.85,Millions de tonnes métriques,Empreinte matérielle
2006,1652.65,Millions de tonnes métriques,Empreinte matérielle
2007,1752.49,Millions de tonnes métriques,Empreinte matérielle
2008,1698.86,Millions de tonnes métriques,Empreinte matérielle
2009,1711.42,Millions de tonnes métriques,Empreinte matérielle
2010,1798.92,Millions de tonnes métriques,Empreinte matérielle
2011,1913.08,Millions de tonnes métriques,Empreinte matérielle
2012,1933.67,Millions de tonnes métriques,Empreinte matérielle
2013,2035.2,Millions de tonnes métriques,Empreinte matérielle
2014,2012.24,Millions de tonnes métriques,Empreinte matérielle
2015,2040.18,Millions de tonnes métriques,Empreinte matérielle
2016,2009.55,Millions de tonnes métriques,Empreinte matérielle
2017,2112.05,Millions de tonnes métriques,Empreinte matérielle
2018,2074.66,Millions de tonnes métriques,Empreinte matérielle
2019,2135.63,Millions de tonnes métriques,Empreinte matérielle
2000,48.0,Tonnes métriques,Empreinte matérielle par habitant
2001,45.88,Tonnes métriques,Empreinte matérielle par habitant
2002,46.85,Tonnes métriques,Empreinte matérielle par habitant
2003,46.15,Tonnes métriques,Empreinte matérielle par habitant
2004,48.72,Tonnes métriques,Empreinte matérielle par habitant
2005,47.32,Tonnes métriques,Empreinte matérielle par habitant
2006,50.74,Tonnes métriques,Empreinte matérielle par habitant
2007,53.29,Tonnes métriques,Empreinte matérielle par habitant
2008,51.1,Tonnes métriques,Empreinte matérielle par habitant
2009,50.89,Tonnes métriques,Empreinte matérielle par habitant
2010,52.9,Tonnes métriques,Empreinte matérielle par habitant
2011,55.71,Tonnes métriques,Empreinte matérielle par habitant
2012,55.7,Tonnes métriques,Empreinte matérielle par habitant
2013,58.01,Tonnes métriques,Empreinte matérielle par habitant
2014,56.78,Tonnes métriques,Empreinte matérielle par habitant
2015,57.14,Tonnes métriques,Empreinte matérielle par habitant
2016,55.65,Tonnes métriques,Empreinte matérielle par habitant
2017,57.79,Tonnes métriques,Empreinte matérielle par habitant
2018,55.97,Tonnes métriques,Empreinte matérielle par habitant
2019,56.8,Tonnes métriques,Empreinte matérielle par habitant
2000,1008.0,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2001,959.51,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2002,962.62,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2003,939.3,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2004,971.46,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2005,922.7,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2006,975.63,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2007,1011.85,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2008,971.14,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2009,1010.13,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2010,1031.63,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2011,1063.81,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2012,1058.26,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2013,1087.54,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2014,1044.71,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2015,1052.73,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2016,1028.71,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2017,1044.57,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2018,994.46,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2019,1004.58,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
