Year,Value,Series
2000,9.3,Prevalence of anaemia in women of reproductive age
2001,9.0,Prevalence of anaemia in women of reproductive age
2002,8.9,Prevalence of anaemia in women of reproductive age
2003,8.8,Prevalence of anaemia in women of reproductive age
2004,8.8,Prevalence of anaemia in women of reproductive age
2005,8.7,Prevalence of anaemia in women of reproductive age
2006,8.7,Prevalence of anaemia in women of reproductive age
2007,8.7,Prevalence of anaemia in women of reproductive age
2008,8.7,Prevalence of anaemia in women of reproductive age
2009,8.7,Prevalence of anaemia in women of reproductive age
2010,8.7,Prevalence of anaemia in women of reproductive age
2011,8.8,Prevalence of anaemia in women of reproductive age
2012,8.8,Prevalence of anaemia in women of reproductive age
2013,9.0,Prevalence of anaemia in women of reproductive age
2014,9.1,Prevalence of anaemia in women of reproductive age
2015,9.3,Prevalence of anaemia in women of reproductive age
2016,9.5,Prevalence of anaemia in women of reproductive age
2017,9.7,Prevalence of anaemia in women of reproductive age
2018,10.0,Prevalence of anaemia in women of reproductive age
2019,10.4,Prevalence of anaemia in women of reproductive age
2000,15.7,Prevalence of anaemia in pregnant women
2001,15.3,Prevalence of anaemia in pregnant women
2002,15.1,Prevalence of anaemia in pregnant women
2003,14.9,Prevalence of anaemia in pregnant women
2004,14.8,Prevalence of anaemia in pregnant women
2005,14.7,Prevalence of anaemia in pregnant women
2006,14.6,Prevalence of anaemia in pregnant women
2007,14.6,Prevalence of anaemia in pregnant women
2008,14.6,Prevalence of anaemia in pregnant women
2009,14.6,Prevalence of anaemia in pregnant women
2010,14.6,Prevalence of anaemia in pregnant women
2011,14.6,Prevalence of anaemia in pregnant women
2012,14.7,Prevalence of anaemia in pregnant women
2013,14.8,Prevalence of anaemia in pregnant women
2014,15.0,Prevalence of anaemia in pregnant women
2015,15.2,Prevalence of anaemia in pregnant women
2016,15.4,Prevalence of anaemia in pregnant women
2017,15.5,Prevalence of anaemia in pregnant women
2018,15.7,Prevalence of anaemia in pregnant women
2019,16.0,Prevalence of anaemia in pregnant women
