Year,Value,Units,Series
2000,1196.74,Million metric tonnes,Material footprint
2001,1101.55,Million metric tonnes,Material footprint
2002,1097.2,Million metric tonnes,Material footprint
2003,1203.02,Million metric tonnes,Material footprint
2004,1315.71,Million metric tonnes,Material footprint
2005,1107.7,Million metric tonnes,Material footprint
2006,1149.26,Million metric tonnes,Material footprint
2007,1115.39,Million metric tonnes,Material footprint
2008,1081.33,Million metric tonnes,Material footprint
2009,1028.52,Million metric tonnes,Material footprint
2010,1178.79,Million metric tonnes,Material footprint
2011,1271.44,Million metric tonnes,Material footprint
2012,1216.29,Million metric tonnes,Material footprint
2013,1235.32,Million metric tonnes,Material footprint
2014,1206.28,Million metric tonnes,Material footprint
2015,1240.12,Million metric tonnes,Material footprint
2016,1290.24,Million metric tonnes,Material footprint
2017,1340.02,Million metric tonnes,Material footprint
2018,1328.66,Million metric tonnes,Material footprint
2019,1311.23,Million metric tonnes,Material footprint
2000,39.0,Metric tonnes,Material footprint per capita
2001,35.51,Metric tonnes,Material footprint per capita
2002,34.99,Metric tonnes,Material footprint per capita
2003,38.02,Metric tonnes,Material footprint per capita
2004,41.19,Metric tonnes,Material footprint per capita
2005,34.35,Metric tonnes,Material footprint per capita
2006,35.28,Metric tonnes,Material footprint per capita
2007,33.91,Metric tonnes,Material footprint per capita
2008,32.52,Metric tonnes,Material footprint per capita
2009,30.58,Metric tonnes,Material footprint per capita
2010,34.67,Metric tonnes,Material footprint per capita
2011,37.03,Metric tonnes,Material footprint per capita
2012,35.04,Metric tonnes,Material footprint per capita
2013,35.21,Metric tonnes,Material footprint per capita
2014,34.04,Metric tonnes,Material footprint per capita
2015,34.73,Metric tonnes,Material footprint per capita
2016,35.73,Metric tonnes,Material footprint per capita
2017,36.67,Metric tonnes,Material footprint per capita
2018,35.85,Metric tonnes,Material footprint per capita
2019,34.87,Metric tonnes,Material footprint per capita
2000,818.95,Metric tonnes per GDP (millions of dollars CAD),Material footprint per unit of GDP
2001,742.67,Metric tonnes per GDP (millions of dollars CAD),Material footprint per unit of GDP
2002,718.85,Metric tonnes per GDP (millions of dollars CAD),Material footprint per unit of GDP
2003,773.73,Metric tonnes per GDP (millions of dollars CAD),Material footprint per unit of GDP
2004,821.41,Metric tonnes per GDP (millions of dollars CAD),Material footprint per unit of GDP
2005,669.84,Metric tonnes per GDP (millions of dollars CAD),Material footprint per unit of GDP
2006,678.47,Metric tonnes per GDP (millions of dollars CAD),Material footprint per unit of GDP
2007,644.0,Metric tonnes per GDP (millions of dollars CAD),Material footprint per unit of GDP
2008,618.14,Metric tonnes per GDP (millions of dollars CAD),Material footprint per unit of GDP
2009,607.06,Metric tonnes per GDP (millions of dollars CAD),Material footprint per unit of GDP
2010,676.01,Metric tonnes per GDP (millions of dollars CAD),Material footprint per unit of GDP
2011,707.01,Metric tonnes per GDP (millions of dollars CAD),Material footprint per unit of GDP
2012,665.65,Metric tonnes per GDP (millions of dollars CAD),Material footprint per unit of GDP
2013,660.11,Metric tonnes per GDP (millions of dollars CAD),Material footprint per unit of GDP
2014,626.28,Metric tonnes per GDP (millions of dollars CAD),Material footprint per unit of GDP
2015,639.9,Metric tonnes per GDP (millions of dollars CAD),Material footprint per unit of GDP
2016,660.49,Metric tonnes per GDP (millions of dollars CAD),Material footprint per unit of GDP
2017,662.74,Metric tonnes per GDP (millions of dollars CAD),Material footprint per unit of GDP
2018,636.87,Metric tonnes per GDP (millions of dollars CAD),Material footprint per unit of GDP
2019,616.79,Metric tonnes per GDP (millions of dollars CAD),Material footprint per unit of GDP
