Year,Géographie,GeoCode,Value
2015,Alberta,48,-4.9
2016,Alberta,48,-4.82
2017,Alberta,48,3.15
2018,Alberta,48,0.65
2019,Alberta,48,-1.33
2020,Alberta,48,-9.26
2021,Alberta,48,4.26
2015,Colombie-Britannique,59,0.84
2016,Colombie-Britannique,59,1.19
2017,Colombie-Britannique,59,2.18
2018,Colombie-Britannique,59,2.07
2019,Colombie-Britannique,59,1.12
2020,Colombie-Britannique,59,-4.27
2021,Colombie-Britannique,59,5.28
2015,,,0.07
2016,,,-0.07
2017,,,1.88
2018,,,1.43
2019,,,0.56
2020,,,-6.15
2021,,,4.42
2022,,,1.75
2015,Manitoba,46,0.35
2016,Manitoba,46,-0.2
2017,Manitoba,46,1.73
2018,Manitoba,46,0.63
2019,Manitoba,46,-0.1
2020,Manitoba,46,-5.05
2021,Manitoba,46,0.82
2015,Nouveau-Brunswick,13,0.83
2016,Nouveau-Brunswick,13,0.33
2017,Nouveau-Brunswick,13,1.92
2018,Nouveau-Brunswick,13,0.85
2019,Nouveau-Brunswick,13,0.42
2020,Nouveau-Brunswick,13,-3.52
2021,Nouveau-Brunswick,13,4.83
2015,Terre-Neuve-et-Labrador,10,-1.08
2016,Terre-Neuve-et-Labrador,10,1.29
2017,Terre-Neuve-et-Labrador,10,1.48
2018,Terre-Neuve-et-Labrador,10,-2.35
2019,Terre-Neuve-et-Labrador,10,4.4
2020,Terre-Neuve-et-Labrador,10,-4.35
2021,Terre-Neuve-et-Labrador,10,0.78
2015,Territoires du Nord-Ouest,61,0.21
2016,Territoires du Nord-Ouest,61,-2.02
2017,Territoires du Nord-Ouest,61,3.08
2018,Territoires du Nord-Ouest,61,1.15
2019,Territoires du Nord-Ouest,61,-4.33
2020,Territoires du Nord-Ouest,61,-10.72
2021,Territoires du Nord-Ouest,61,4.27
2015,Nouvelle-Écosse,12,0.98
2016,Nouvelle-Écosse,12,0.69
2017,Nouvelle-Écosse,12,1.26
2018,Nouvelle-Écosse,12,0.85
2019,Nouvelle-Écosse,12,2.12
2020,Nouvelle-Écosse,12,-4.68
2021,Nouvelle-Écosse,12,5.16
2015,Nunavut,62,-1.82
2016,Nunavut,62,3.98
2017,Nunavut,62,11.47
2018,Nunavut,62,2.85
2019,Nunavut,62,6.56
2020,Nunavut,62,-0.23
2021,Nunavut,62,6.41
2015,Ontario,35,1.98
2016,Ontario,35,1.01
2017,Ontario,35,1.33
2018,Ontario,35,1.68
2019,Ontario,35,0.58
2020,Ontario,35,-5.99
2021,Ontario,35,4.46
2015,Île-du-Prince-Édouard,11,1.26
2016,Île-du-Prince-Édouard,11,0.46
2017,Île-du-Prince-Édouard,11,2.1
2018,Île-du-Prince-Édouard,11,-0.29
2019,Île-du-Prince-Édouard,11,1.92
2020,Île-du-Prince-Édouard,11,-4.05
2021,Île-du-Prince-Édouard,11,5.64
2015,Québec,24,0.69
2016,Québec,24,0.99
2017,Québec,24,1.91
2018,Québec,24,1.89
2019,Québec,24,1.71
2020,Québec,24,-5.89
2021,Québec,24,5.65
2015,Saskatchewan,47,-1.46
2016,Saskatchewan,47,-1.64
2017,Saskatchewan,47,1.0
2018,Saskatchewan,47,0.56
2019,Saskatchewan,47,-1.39
2020,Saskatchewan,47,-5.45
2021,Saskatchewan,47,-0.91
2015,Yukon,60,-8.95
2016,Yukon,60,4.83
2017,Yukon,60,-0.76
2018,Yukon,60,0.44
2019,Yukon,60,-3.32
2020,Yukon,60,1.72
2021,Yukon,60,7.19
