Year,Series,Units,Value
2020,Nombre de bassins (partagés) présentant des changements importants dans l’étendue des eaux de surface,Pourcentage,4.0
2015,Nombre de bassins (partagés) présentant des changements importants dans l’étendue des eaux de surface,Pourcentage,1.0
2020,Nombre de bassins (partagés) présentant des changements importants dans l’étendue des eaux de surface,Nombre,57.0
2015,Nombre de bassins (partagés) présentant des changements importants dans l’étendue des eaux de surface,Nombre,18.0
2016/18 (baseline),Étendue des millieux humides,Kilomètres carrés,806938.0
2016/18 (baseline),Étendue des millieux humides,Pourcentage,8.17
2017/19,"Qualité de l’eau du lac, la turbidité",Nombre,17.0
2017/19,"Qualité de l’eau du lac, la turbidité",Pourcentage,11.0
2017/19,"Qualité de l’eau du lac, l'état trophique",Nombre,61.0
2017/19,"Qualité de l’eau du lac, l'état trophique",Pourcentage,39.0
2017/19,"Qualité de l’eau du lac, l'état trophique et la turbidité",Nombre,13.0
2017/19,"Qualité de l’eau du lac, l'état trophique et la turbidité",Pourcentage,8.0
2017/19,"Qualité de l’eau du lac, état nul ou amélioration",Nombre,66.0
2017/19,"Qualité de l’eau du lac, état nul ou amélioration",Pourcentage,42.0
