Year,Units,Type de catastrophe naturelle,Value
2015,Pourcentage (%),,0.024
2016,Pourcentage (%),,0.2503
2017,Pourcentage (%),,0.025
2018,Pourcentage (%),,0.064
2019,Pourcentage (%),,0.007
2020,Pourcentage (%),,0.0
2015,Pourcentage (%),Météorologique - Inondation,0.019
2015,Pourcentage (%),Météorologique - Tempête,0.006
2016,Pourcentage (%),Météorologique - Inondation,0.0275
2016,Pourcentage (%),Météorologique - Tempête,0.0197
2016,Pourcentage (%),Météorologique - Feu de forêt,0.2009
2016,Pourcentage (%),Météorologique - Tempête hivernale,0.0014
2016,Pourcentage (%),Météorologique - Épidémie,0.0008
2017,Pourcentage (%),Météorologique - Inondation,0.014
2017,Pourcentage (%),Météorologique - Tempête,0.002
2017,Pourcentage (%),Météorologique - Feu de forêt,0.006
2017,Pourcentage (%),Météorologique - Tempête hivernale,0.003
2018,Pourcentage (%),Météorologique - Inondation,0.004
2018,Pourcentage (%),Météorologique - Tornade,0.015
2018,Pourcentage (%),Météorologique - Tempête,0.037
2018,Pourcentage (%),Météorologique - Feu de forêt,0.0
2018,Pourcentage (%),Météorologique - Tempête hivernale,0.008
2019,Pourcentage (%),Météorologique - Inondation,0.0
2019,Pourcentage (%),Météorologique - Tempête,0.0
2019,Pourcentage (%),Météorologique - Feu de forêt,0.0
2019,Pourcentage (%),Météorologique - Tempête hivernale,0.007
2020,Pourcentage (%),Météorologique - Inondation,0.0
2020,Pourcentage (%),Météorologique - Tempête,0.0
2020,Pourcentage (%),Météorologique - Feu de forêt,0.0
2020,Pourcentage (%),Météorologique - Tempête hivernale,0.0
