Year,Series,Units,Value
2015,Volume de fret aérien,Tonnes métriques,1172780.8
2016,Volume de fret aérien,Tonnes métriques,1223213.3
2017,Volume de fret aérien,Tonnes métriques,1316626.7
2018,Volume de fret aérien,Tonnes métriques,1444698.9
2019,Volume de fret aérien,Tonnes métriques,1377025.8
2020,Volume de fret aérien,Tonnes métriques,1186628.5
2021,Volume de fret aérien,Tonnes métriques,1299219.8
2022,Volume de fret aérien,Tonnes métriques,1441394.0
2015,Passagers aériens,Number of passengers,133426703.0
2016,Passagers aériens,Number of passengers,140892544.0
2017,Passagers aériens,Number of passengers,150808451.0
2018,Passagers aériens,Number of passengers,160641587.0
2019,Passagers aériens,Number of passengers,162864077.0
2020,Passagers aériens,Number of passengers,46349535.0
2021,Passagers aériens,Number of passengers,46280911.0
2022,Passagers aériens,Number of passengers,117298931.0
2015,Volume de fret ferroviaire,Tonnes métriques,304908351.0
2016,Volume de fret ferroviaire,Tonnes métriques,292888995.0
2017,Volume de fret ferroviaire,Tonnes métriques,311701985.0
2018,Volume de fret ferroviaire,Tonnes métriques,328539280.0
2019,Volume de fret ferroviaire,Tonnes métriques,330244510.0
2020,Volume de fret ferroviaire,Tonnes métriques,321764297.0
2021,Volume de fret ferroviaire,Tonnes métriques,321060103.0
2015,Voyageurs ferroviaires,Number of passengers,3921000.0
2016,Voyageurs ferroviaires,Number of passengers,4080000.0
2017,Voyageurs ferroviaires,Number of passengers,4496000.0
2018,Voyageurs ferroviaires,Number of passengers,4838000.0
2019,Voyageurs ferroviaires,Number of passengers,5102000.0
2020,Voyageurs ferroviaires,Number of passengers,1125000.0
2021,Voyageurs ferroviaires,Number of passengers,1549000.0
2015,Volume de fret routier,Metric tonnes of cargo,729215433.6
2016,Volume de fret routier,Metric tonnes of cargo,755515777.7
2017,Volume de fret routier,Metric tonnes of cargo,751948221.7
2018,Volume de fret routier,Metric tonnes of cargo,753715221.4
