Year,Geography,Source,GeoCode,Value
1990,,,,589.0
1991,,,,582.0
1992,,,,599.0
1993,,,,602.0
1994,,,,622.0
1995,,,,639.0
1996,,,,661.0
1997,,,,676.0
1998,,,,682.0
1999,,,,695.0
2000,,,,719.0
2001,,,,710.0
2002,,,,715.0
2003,,,,734.0
2004,,,,737.0
2005,,,,732.0
2006,,,,725.0
2007,,,,748.0
2008,,,,731.0
2009,,,,690.0
2010,,,,702.0
2011,,,,711.0
2012,,,,716.0
2013,,,,723.0
2014,,,,720.0
2015,,,,723.0
2016,,,,705.0
2017,,,,712.0
2018,,,,725.0
2019,,,,724.0
2020,,,,659.0
2021,,,,670.0
1990,Canada,Oil and Gas,,100.0
1991,Canada,Oil and Gas,,100.0
1992,Canada,Oil and Gas,,109.0
1993,Canada,Oil and Gas,,115.0
1994,Canada,Oil and Gas,,119.0
1995,Canada,Oil and Gas,,125.0
1996,Canada,Oil and Gas,,133.0
1997,Canada,Oil and Gas,,135.0
1998,Canada,Oil and Gas,,139.0
1999,Canada,Oil and Gas,,148.0
2000,Canada,Oil and Gas,,153.0
2001,Canada,Oil and Gas,,155.0
2002,Canada,Oil and Gas,,159.0
2003,Canada,Oil and Gas,,163.0
2004,Canada,Oil and Gas,,165.0
2005,Canada,Oil and Gas,,168.0
2006,Canada,Oil and Gas,,175.0
2007,Canada,Oil and Gas,,180.0
2008,Canada,Oil and Gas,,177.0
2009,Canada,Oil and Gas,,174.0
2010,Canada,Oil and Gas,,179.0
2011,Canada,Oil and Gas,,185.0
2012,Canada,Oil and Gas,,192.0
2013,Canada,Oil and Gas,,197.0
2014,Canada,Oil and Gas,,202.0
2015,Canada,Oil and Gas,,203.0
2016,Canada,Oil and Gas,,191.0
2017,Canada,Oil and Gas,,194.0
2018,Canada,Oil and Gas,,202.0
2019,Canada,Oil and Gas,,201.0
2020,Canada,Oil and Gas,,183.0
2021,Canada,Oil and Gas,,189.0
1990,Canada,Electricity,,95.0
1991,Canada,Electricity,,96.0
1992,Canada,Electricity,,103.0
1993,Canada,Electricity,,93.0
1994,Canada,Electricity,,95.0
1995,Canada,Electricity,,98.0
1996,Canada,Electricity,,98.0
1997,Canada,Electricity,,109.0
1998,Canada,Electricity,,122.0
1999,Canada,Electricity,,119.0
2000,Canada,Electricity,,129.0
2001,Canada,Electricity,,129.0
2002,Canada,Electricity,,124.0
2003,Canada,Electricity,,127.0
2004,Canada,Electricity,,119.0
2005,Canada,Electricity,,118.0
2006,Canada,Electricity,,112.0
2007,Canada,Electricity,,120.0
2008,Canada,Electricity,,109.0
2009,Canada,Electricity,,94.0
2010,Canada,Electricity,,95.0
2011,Canada,Electricity,,87.0
2012,Canada,Electricity,,83.0
2013,Canada,Electricity,,80.0
2014,Canada,Electricity,,76.0
2015,Canada,Electricity,,79.0
2016,Canada,Electricity,,74.0
2017,Canada,Electricity,,73.0
2018,Canada,Electricity,,63.0
2019,Canada,Electricity,,62.0
2020,Canada,Electricity,,54.0
2021,Canada,Electricity,,52.0
1990,Canada,Transport,,118.0
1991,Canada,Transport,,114.0
1992,Canada,Transport,,116.0
1993,Canada,Transport,,119.0
1994,Canada,Transport,,125.0
1995,Canada,Transport,,127.0
1996,Canada,Transport,,130.0
1997,Canada,Transport,,134.0
1998,Canada,Transport,,137.0
1999,Canada,Transport,,141.0
2000,Canada,Transport,,142.0
2001,Canada,Transport,,142.0
2002,Canada,Transport,,144.0
2003,Canada,Transport,,150.0
2004,Canada,Transport,,154.0
2005,Canada,Transport,,157.0
2006,Canada,Transport,,158.0
2007,Canada,Transport,,163.0
2008,Canada,Transport,,163.0
2009,Canada,Transport,,162.0
2010,Canada,Transport,,166.0
2011,Canada,Transport,,164.0
2012,Canada,Transport,,165.0
2013,Canada,Transport,,167.0
2014,Canada,Transport,,165.0
2015,Canada,Transport,,163.0
2016,Canada,Transport,,162.0
2017,Canada,Transport,,165.0
2018,Canada,Transport,,169.0
2019,Canada,Transport,,170.0
2020,Canada,Transport,,143.0
2021,Canada,Transport,,150.0
1990,Canada,Heavy Industry,,99.0
1991,Canada,Heavy Industry,,99.0
1992,Canada,Heavy Industry,,96.0
1993,Canada,Heavy Industry,,95.0
1994,Canada,Heavy Industry,,101.0
1995,Canada,Heavy Industry,,102.0
1996,Canada,Heavy Industry,,105.0
1997,Canada,Heavy Industry,,104.0
1998,Canada,Heavy Industry,,100.0
1999,Canada,Heavy Industry,,97.0
2000,Canada,Heavy Industry,,97.0
2001,Canada,Heavy Industry,,91.0
2002,Canada,Heavy Industry,,92.0
2003,Canada,Heavy Industry,,91.0
2004,Canada,Heavy Industry,,94.0
2005,Canada,Heavy Industry,,89.0
2006,Canada,Heavy Industry,,89.0
2007,Canada,Heavy Industry,,87.0
2008,Canada,Heavy Industry,,86.0
2009,Canada,Heavy Industry,,73.0
2010,Canada,Heavy Industry,,76.0
2011,Canada,Heavy Industry,,82.0
2012,Canada,Heavy Industry,,82.0
2013,Canada,Heavy Industry,,81.0
2014,Canada,Heavy Industry,,81.0
2015,Canada,Heavy Industry,,81.0
2016,Canada,Heavy Industry,,78.0
2017,Canada,Heavy Industry,,77.0
2018,Canada,Heavy Industry,,80.0
2019,Canada,Heavy Industry,,79.0
2020,Canada,Heavy Industry,,74.0
2021,Canada,Heavy Industry,,77.0
1990,Canada,Buildings,,72.0
1991,Canada,Buildings,,71.0
1992,Canada,Buildings,,73.0
1993,Canada,Buildings,,77.0
1994,Canada,Buildings,,77.0
1995,Canada,Buildings,,78.0
1996,Canada,Buildings,,84.0
1997,Canada,Buildings,,82.0
1998,Canada,Buildings,,73.0
1999,Canada,Buildings,,77.0
2000,Canada,Buildings,,84.0
2001,Canada,Buildings,,81.0
2002,Canada,Buildings,,85.0
2003,Canada,Buildings,,90.0
2004,Canada,Buildings,,89.0
2005,Canada,Buildings,,85.0
2006,Canada,Buildings,,80.0
2007,Canada,Buildings,,86.0
2008,Canada,Buildings,,85.0
2009,Canada,Buildings,,84.0
2010,Canada,Buildings,,82.0
2011,Canada,Buildings,,86.0
2012,Canada,Buildings,,85.0
2013,Canada,Buildings,,86.0
2014,Canada,Buildings,,86.0
2015,Canada,Buildings,,85.0
2016,Canada,Buildings,,85.0
2017,Canada,Buildings,,88.0
2018,Canada,Buildings,,92.0
2019,Canada,Buildings,,93.0
2020,Canada,Buildings,,89.0
2021,Canada,Buildings,,87.0
1990,Canada,Agriculture,,49.0
1991,Canada,Agriculture,,49.0
1992,Canada,Agriculture,,52.0
1993,Canada,Agriculture,,53.0
1994,Canada,Agriculture,,54.0
1995,Canada,Agriculture,,57.0
1996,Canada,Agriculture,,58.0
1997,Canada,Agriculture,,59.0
1998,Canada,Agriculture,,59.0
1999,Canada,Agriculture,,60.0
2000,Canada,Agriculture,,61.0
2001,Canada,Agriculture,,60.0
2002,Canada,Agriculture,,60.0
2003,Canada,Agriculture,,62.0
2004,Canada,Agriculture,,63.0
2005,Canada,Agriculture,,64.0
2006,Canada,Agriculture,,62.0
2007,Canada,Agriculture,,62.0
2008,Canada,Agriculture,,62.0
2009,Canada,Agriculture,,59.0
2010,Canada,Agriculture,,59.0
2011,Canada,Agriculture,,60.0
2012,Canada,Agriculture,,62.0
2013,Canada,Agriculture,,64.0
2014,Canada,Agriculture,,63.0
2015,Canada,Agriculture,,65.0
2016,Canada,Agriculture,,66.0
2017,Canada,Agriculture,,67.0
2018,Canada,Agriculture,,69.0
2019,Canada,Agriculture,,69.0
2020,Canada,Agriculture,,70.0
2021,Canada,Agriculture,,69.0
1990,Canada,Waste,,19.0
1991,Canada,Waste,,19.0
1992,Canada,Waste,,19.0
1993,Canada,Waste,,19.0
1994,Canada,Waste,,20.0
1995,Canada,Waste,,20.0
1996,Canada,Waste,,20.0
1997,Canada,Waste,,20.0
1998,Canada,Waste,,20.0
1999,Canada,Waste,,21.0
2000,Canada,Waste,,21.0
2001,Canada,Waste,,21.0
2002,Canada,Waste,,21.0
2003,Canada,Waste,,22.0
2004,Canada,Waste,,22.0
2005,Canada,Waste,,22.0
2006,Canada,Waste,,22.0
2007,Canada,Waste,,21.0
2008,Canada,Waste,,21.0
2009,Canada,Waste,,21.0
2010,Canada,Waste,,20.0
2011,Canada,Waste,,20.0
2012,Canada,Waste,,20.0
2013,Canada,Waste,,21.0
2014,Canada,Waste,,21.0
2015,Canada,Waste,,21.0
2016,Canada,Waste,,21.0
2017,Canada,Waste,,21.0
2018,Canada,Waste,,21.0
2019,Canada,Waste,,21.0
2020,Canada,Waste,,21.0
2021,Canada,Waste,,21.0
1990,Canada,Coal Production,,4.0
1991,Canada,Coal Production,,4.0
1992,Canada,Coal Production,,4.0
1993,Canada,Coal Production,,4.0
1994,Canada,Coal Production,,4.0
1995,Canada,Coal Production,,4.0
1996,Canada,Coal Production,,4.0
1997,Canada,Coal Production,,4.0
1998,Canada,Coal Production,,4.0
1999,Canada,Coal Production,,4.0
2000,Canada,Coal Production,,4.0
2001,Canada,Coal Production,,4.0
2002,Canada,Coal Production,,3.0
2003,Canada,Coal Production,,3.0
2004,Canada,Coal Production,,3.0
2005,Canada,Coal Production,,3.0
2006,Canada,Coal Production,,3.0
2007,Canada,Coal Production,,3.0
2008,Canada,Coal Production,,3.0
2009,Canada,Coal Production,,3.0
2010,Canada,Coal Production,,3.0
2011,Canada,Coal Production,,3.0
2012,Canada,Coal Production,,3.0
2013,Canada,Coal Production,,3.0
2014,Canada,Coal Production,,3.0
2015,Canada,Coal Production,,3.0
2016,Canada,Coal Production,,3.0
2017,Canada,Coal Production,,3.0
2018,Canada,Coal Production,,3.0
2019,Canada,Coal Production,,3.0
2020,Canada,Coal Production,,3.0
2021,Canada,Coal Production,,3.0
1990,Canada,"Light Manufacturing, Construction and Forest Resources",,31.0
1991,Canada,"Light Manufacturing, Construction and Forest Resources",,29.0
1992,Canada,"Light Manufacturing, Construction and Forest Resources",,28.0
1993,Canada,"Light Manufacturing, Construction and Forest Resources",,26.0
1994,Canada,"Light Manufacturing, Construction and Forest Resources",,26.0
1995,Canada,"Light Manufacturing, Construction and Forest Resources",,28.0
1996,Canada,"Light Manufacturing, Construction and Forest Resources",,28.0
1997,Canada,"Light Manufacturing, Construction and Forest Resources",,29.0
1998,Canada,"Light Manufacturing, Construction and Forest Resources",,27.0
1999,Canada,"Light Manufacturing, Construction and Forest Resources",,27.0
2000,Canada,"Light Manufacturing, Construction and Forest Resources",,28.0
2001,Canada,"Light Manufacturing, Construction and Forest Resources",,27.0
2002,Canada,"Light Manufacturing, Construction and Forest Resources",,27.0
2003,Canada,"Light Manufacturing, Construction and Forest Resources",,27.0
2004,Canada,"Light Manufacturing, Construction and Forest Resources",,28.0
2005,Canada,"Light Manufacturing, Construction and Forest Resources",,28.0
2006,Canada,"Light Manufacturing, Construction and Forest Resources",,26.0
2007,Canada,"Light Manufacturing, Construction and Forest Resources",,26.0
2008,Canada,"Light Manufacturing, Construction and Forest Resources",,25.0
2009,Canada,"Light Manufacturing, Construction and Forest Resources",,21.0
2010,Canada,"Light Manufacturing, Construction and Forest Resources",,23.0
2011,Canada,"Light Manufacturing, Construction and Forest Resources",,24.0
2012,Canada,"Light Manufacturing, Construction and Forest Resources",,24.0
2013,Canada,"Light Manufacturing, Construction and Forest Resources",,24.0
2014,Canada,"Light Manufacturing, Construction and Forest Resources",,23.0
2015,Canada,"Light Manufacturing, Construction and Forest Resources",,24.0
2016,Canada,"Light Manufacturing, Construction and Forest Resources",,24.0
2017,Canada,"Light Manufacturing, Construction and Forest Resources",,25.0
2018,Canada,"Light Manufacturing, Construction and Forest Resources",,25.0
2019,Canada,"Light Manufacturing, Construction and Forest Resources",,25.0
2020,Canada,"Light Manufacturing, Construction and Forest Resources",,22.0
2021,Canada,"Light Manufacturing, Construction and Forest Resources",,23.0
1990,Newfoundland and Labrador,Provincial Inventory Total,10,9.4
1991,Newfoundland and Labrador,Provincial Inventory Total,10,8.4
1992,Newfoundland and Labrador,Provincial Inventory Total,10,8.3
1993,Newfoundland and Labrador,Provincial Inventory Total,10,8.4
1994,Newfoundland and Labrador,Provincial Inventory Total,10,7.5
1995,Newfoundland and Labrador,Provincial Inventory Total,10,8.5
1996,Newfoundland and Labrador,Provincial Inventory Total,10,8.6
1997,Newfoundland and Labrador,Provincial Inventory Total,10,9.1
1998,Newfoundland and Labrador,Provincial Inventory Total,10,10.7
1999,Newfoundland and Labrador,Provincial Inventory Total,10,9.6
2000,Newfoundland and Labrador,Provincial Inventory Total,10,9.1
2001,Newfoundland and Labrador,Provincial Inventory Total,10,9.8
2002,Newfoundland and Labrador,Provincial Inventory Total,10,11.8
2003,Newfoundland and Labrador,Provincial Inventory Total,10,11.6
2004,Newfoundland and Labrador,Provincial Inventory Total,10,10.8
2005,Newfoundland and Labrador,Provincial Inventory Total,10,10.2
2006,Newfoundland and Labrador,Provincial Inventory Total,10,9.8
2007,Newfoundland and Labrador,Provincial Inventory Total,10,10.8
2008,Newfoundland and Labrador,Provincial Inventory Total,10,10.4
2009,Newfoundland and Labrador,Provincial Inventory Total,10,9.8
2010,Newfoundland and Labrador,Provincial Inventory Total,10,9.7
2011,Newfoundland and Labrador,Provincial Inventory Total,10,10.0
2012,Newfoundland and Labrador,Provincial Inventory Total,10,9.6
2013,Newfoundland and Labrador,Provincial Inventory Total,10,9.7
2014,Newfoundland and Labrador,Provincial Inventory Total,10,10.7
2015,Newfoundland and Labrador,Provincial Inventory Total,10,10.8
2016,Newfoundland and Labrador,Provincial Inventory Total,10,10.9
2017,Newfoundland and Labrador,Provincial Inventory Total,10,10.8
2018,Newfoundland and Labrador,Provincial Inventory Total,10,10.6
2019,Newfoundland and Labrador,Provincial Inventory Total,10,11.0
2020,Newfoundland and Labrador,Provincial Inventory Total,10,8.8
2021,Newfoundland and Labrador,Provincial Inventory Total,10,8.3
1990,Newfoundland and Labrador,Oil and Gas,10,1.1
1991,Newfoundland and Labrador,Oil and Gas,10,1.0
1992,Newfoundland and Labrador,Oil and Gas,10,0.9
1993,Newfoundland and Labrador,Oil and Gas,10,1.1
1994,Newfoundland and Labrador,Oil and Gas,10,0.5
1995,Newfoundland and Labrador,Oil and Gas,10,1.0
1996,Newfoundland and Labrador,Oil and Gas,10,1.1
1997,Newfoundland and Labrador,Oil and Gas,10,1.3
1998,Newfoundland and Labrador,Oil and Gas,10,3.4
1999,Newfoundland and Labrador,Oil and Gas,10,2.7
2000,Newfoundland and Labrador,Oil and Gas,10,1.8
2001,Newfoundland and Labrador,Oil and Gas,10,1.7
2002,Newfoundland and Labrador,Oil and Gas,10,3.4
2003,Newfoundland and Labrador,Oil and Gas,10,2.8
2004,Newfoundland and Labrador,Oil and Gas,10,2.6
2005,Newfoundland and Labrador,Oil and Gas,10,2.5
2006,Newfoundland and Labrador,Oil and Gas,10,2.8
2007,Newfoundland and Labrador,Oil and Gas,10,3.0
2008,Newfoundland and Labrador,Oil and Gas,10,2.5
2009,Newfoundland and Labrador,Oil and Gas,10,2.6
2010,Newfoundland and Labrador,Oil and Gas,10,2.5
2011,Newfoundland and Labrador,Oil and Gas,10,2.2
2012,Newfoundland and Labrador,Oil and Gas,10,2.1
2013,Newfoundland and Labrador,Oil and Gas,10,2.3
2014,Newfoundland and Labrador,Oil and Gas,10,2.4
2015,Newfoundland and Labrador,Oil and Gas,10,2.3
2016,Newfoundland and Labrador,Oil and Gas,10,2.6
2017,Newfoundland and Labrador,Oil and Gas,10,2.5
2018,Newfoundland and Labrador,Oil and Gas,10,2.7
2019,Newfoundland and Labrador,Oil and Gas,10,2.8
2020,Newfoundland and Labrador,Oil and Gas,10,1.7
2021,Newfoundland and Labrador,Oil and Gas,10,1.4
1990,Newfoundland and Labrador,Electricity,10,1.6
1991,Newfoundland and Labrador,Electricity,10,1.3
1992,Newfoundland and Labrador,Electricity,10,1.5
1993,Newfoundland and Labrador,Electricity,10,1.4
1994,Newfoundland and Labrador,Electricity,10,0.7
1995,Newfoundland and Labrador,Electricity,10,1.3
1996,Newfoundland and Labrador,Electricity,10,1.2
1997,Newfoundland and Labrador,Electricity,10,1.2
1998,Newfoundland and Labrador,Electricity,10,1.1
1999,Newfoundland and Labrador,Electricity,10,0.8
2000,Newfoundland and Labrador,Electricity,10,0.8
2001,Newfoundland and Labrador,Electricity,10,1.7
2002,Newfoundland and Labrador,Electricity,10,1.9
2003,Newfoundland and Labrador,Electricity,10,1.6
2004,Newfoundland and Labrador,Electricity,10,1.3
2005,Newfoundland and Labrador,Electricity,10,0.8
2006,Newfoundland and Labrador,Electricity,10,0.6
2007,Newfoundland and Labrador,Electricity,10,1.0
2008,Newfoundland and Labrador,Electricity,10,0.9
2009,Newfoundland and Labrador,Electricity,10,0.8
2010,Newfoundland and Labrador,Electricity,10,0.7
2011,Newfoundland and Labrador,Electricity,10,0.8
2012,Newfoundland and Labrador,Electricity,10,0.8
2013,Newfoundland and Labrador,Electricity,10,0.9
2014,Newfoundland and Labrador,Electricity,10,1.2
2015,Newfoundland and Labrador,Electricity,10,1.3
2016,Newfoundland and Labrador,Electricity,10,1.5
2017,Newfoundland and Labrador,Electricity,10,1.5
2018,Newfoundland and Labrador,Electricity,10,1.1
2019,Newfoundland and Labrador,Electricity,10,1.1
2020,Newfoundland and Labrador,Electricity,10,1.0
2021,Newfoundland and Labrador,Electricity,10,0.6
1990,Newfoundland and Labrador,Transport,10,2.7
1991,Newfoundland and Labrador,Transport,10,2.7
1992,Newfoundland and Labrador,Transport,10,2.7
1993,Newfoundland and Labrador,Transport,10,2.8
1994,Newfoundland and Labrador,Transport,10,2.7
1995,Newfoundland and Labrador,Transport,10,2.7
1996,Newfoundland and Labrador,Transport,10,2.7
1997,Newfoundland and Labrador,Transport,10,2.7
1998,Newfoundland and Labrador,Transport,10,2.8
1999,Newfoundland and Labrador,Transport,10,2.9
2000,Newfoundland and Labrador,Transport,10,3.0
2001,Newfoundland and Labrador,Transport,10,3.0
2002,Newfoundland and Labrador,Transport,10,3.1
2003,Newfoundland and Labrador,Transport,10,3.5
2004,Newfoundland and Labrador,Transport,10,3.3
2005,Newfoundland and Labrador,Transport,10,3.4
2006,Newfoundland and Labrador,Transport,10,3.2
2007,Newfoundland and Labrador,Transport,10,3.5
2008,Newfoundland and Labrador,Transport,10,3.7
2009,Newfoundland and Labrador,Transport,10,3.4
2010,Newfoundland and Labrador,Transport,10,3.5
2011,Newfoundland and Labrador,Transport,10,3.9
2012,Newfoundland and Labrador,Transport,10,3.8
2013,Newfoundland and Labrador,Transport,10,3.5
2014,Newfoundland and Labrador,Transport,10,3.8
2015,Newfoundland and Labrador,Transport,10,3.7
2016,Newfoundland and Labrador,Transport,10,3.8
2017,Newfoundland and Labrador,Transport,10,3.8
2018,Newfoundland and Labrador,Transport,10,3.6
2019,Newfoundland and Labrador,Transport,10,3.9
2020,Newfoundland and Labrador,Transport,10,3.3
2021,Newfoundland and Labrador,Transport,10,3.5
1990,Newfoundland and Labrador,Heavy Industry,10,1.9
1991,Newfoundland and Labrador,Heavy Industry,10,1.4
1992,Newfoundland and Labrador,Heavy Industry,10,1.3
1993,Newfoundland and Labrador,Heavy Industry,10,1.3
1994,Newfoundland and Labrador,Heavy Industry,10,1.6
1995,Newfoundland and Labrador,Heavy Industry,10,1.6
1996,Newfoundland and Labrador,Heavy Industry,10,1.6
1997,Newfoundland and Labrador,Heavy Industry,10,1.8
1998,Newfoundland and Labrador,Heavy Industry,10,1.6
1999,Newfoundland and Labrador,Heavy Industry,10,1.4
2000,Newfoundland and Labrador,Heavy Industry,10,1.7
2001,Newfoundland and Labrador,Heavy Industry,10,1.5
2002,Newfoundland and Labrador,Heavy Industry,10,1.5
2003,Newfoundland and Labrador,Heavy Industry,10,1.7
2004,Newfoundland and Labrador,Heavy Industry,10,1.6
2005,Newfoundland and Labrador,Heavy Industry,10,1.8
2006,Newfoundland and Labrador,Heavy Industry,10,1.5
2007,Newfoundland and Labrador,Heavy Industry,10,1.4
2008,Newfoundland and Labrador,Heavy Industry,10,1.4
2009,Newfoundland and Labrador,Heavy Industry,10,1.4
2010,Newfoundland and Labrador,Heavy Industry,10,1.3
2011,Newfoundland and Labrador,Heavy Industry,10,1.2
2012,Newfoundland and Labrador,Heavy Industry,10,1.1
2013,Newfoundland and Labrador,Heavy Industry,10,1.0
2014,Newfoundland and Labrador,Heavy Industry,10,1.1
2015,Newfoundland and Labrador,Heavy Industry,10,1.1
2016,Newfoundland and Labrador,Heavy Industry,10,0.6
2017,Newfoundland and Labrador,Heavy Industry,10,0.7
2018,Newfoundland and Labrador,Heavy Industry,10,0.9
2019,Newfoundland and Labrador,Heavy Industry,10,1.1
2020,Newfoundland and Labrador,Heavy Industry,10,1.0
2021,Newfoundland and Labrador,Heavy Industry,10,1.1
1990,Newfoundland and Labrador,Buildings,10,1.1
1991,Newfoundland and Labrador,Buildings,10,1.0
1992,Newfoundland and Labrador,Buildings,10,1.0
1993,Newfoundland and Labrador,Buildings,10,1.0
1994,Newfoundland and Labrador,Buildings,10,1.0
1995,Newfoundland and Labrador,Buildings,10,1.0
1996,Newfoundland and Labrador,Buildings,10,0.9
1997,Newfoundland and Labrador,Buildings,10,1.0
1998,Newfoundland and Labrador,Buildings,10,0.8
1999,Newfoundland and Labrador,Buildings,10,0.8
2000,Newfoundland and Labrador,Buildings,10,0.9
2001,Newfoundland and Labrador,Buildings,10,0.9
2002,Newfoundland and Labrador,Buildings,10,1.0
2003,Newfoundland and Labrador,Buildings,10,1.1
2004,Newfoundland and Labrador,Buildings,10,1.1
2005,Newfoundland and Labrador,Buildings,10,0.8
2006,Newfoundland and Labrador,Buildings,10,0.7
2007,Newfoundland and Labrador,Buildings,10,0.9
2008,Newfoundland and Labrador,Buildings,10,0.9
2009,Newfoundland and Labrador,Buildings,10,0.8
2010,Newfoundland and Labrador,Buildings,10,0.8
2011,Newfoundland and Labrador,Buildings,10,0.9
2012,Newfoundland and Labrador,Buildings,10,0.7
2013,Newfoundland and Labrador,Buildings,10,1.0
2014,Newfoundland and Labrador,Buildings,10,1.1
2015,Newfoundland and Labrador,Buildings,10,1.0
2016,Newfoundland and Labrador,Buildings,10,1.0
2017,Newfoundland and Labrador,Buildings,10,1.1
2018,Newfoundland and Labrador,Buildings,10,0.9
2019,Newfoundland and Labrador,Buildings,10,0.9
2020,Newfoundland and Labrador,Buildings,10,0.8
2021,Newfoundland and Labrador,Buildings,10,0.7
1990,Newfoundland and Labrador,Agriculture,10,0.1
1991,Newfoundland and Labrador,Agriculture,10,0.1
1992,Newfoundland and Labrador,Agriculture,10,0.1
1993,Newfoundland and Labrador,Agriculture,10,0.1
1994,Newfoundland and Labrador,Agriculture,10,0.1
1995,Newfoundland and Labrador,Agriculture,10,0.1
1996,Newfoundland and Labrador,Agriculture,10,0.1
1997,Newfoundland and Labrador,Agriculture,10,0.1
1998,Newfoundland and Labrador,Agriculture,10,0.1
1999,Newfoundland and Labrador,Agriculture,10,0.1
2000,Newfoundland and Labrador,Agriculture,10,0.1
2001,Newfoundland and Labrador,Agriculture,10,0.1
2002,Newfoundland and Labrador,Agriculture,10,0.1
2003,Newfoundland and Labrador,Agriculture,10,0.1
2004,Newfoundland and Labrador,Agriculture,10,0.1
2005,Newfoundland and Labrador,Agriculture,10,0.1
2006,Newfoundland and Labrador,Agriculture,10,0.1
2007,Newfoundland and Labrador,Agriculture,10,0.1
2008,Newfoundland and Labrador,Agriculture,10,0.1
2009,Newfoundland and Labrador,Agriculture,10,0.1
2010,Newfoundland and Labrador,Agriculture,10,0.1
2011,Newfoundland and Labrador,Agriculture,10,0.1
2012,Newfoundland and Labrador,Agriculture,10,0.1
2013,Newfoundland and Labrador,Agriculture,10,0.1
2014,Newfoundland and Labrador,Agriculture,10,0.1
2015,Newfoundland and Labrador,Agriculture,10,0.1
2016,Newfoundland and Labrador,Agriculture,10,0.1
2017,Newfoundland and Labrador,Agriculture,10,0.1
2018,Newfoundland and Labrador,Agriculture,10,0.1
2019,Newfoundland and Labrador,Agriculture,10,0.1
2020,Newfoundland and Labrador,Agriculture,10,0.1
2021,Newfoundland and Labrador,Agriculture,10,0.1
1990,Newfoundland and Labrador,Waste,10,0.5
1991,Newfoundland and Labrador,Waste,10,0.6
1992,Newfoundland and Labrador,Waste,10,0.6
1993,Newfoundland and Labrador,Waste,10,0.6
1994,Newfoundland and Labrador,Waste,10,0.6
1995,Newfoundland and Labrador,Waste,10,0.6
1996,Newfoundland and Labrador,Waste,10,0.6
1997,Newfoundland and Labrador,Waste,10,0.6
1998,Newfoundland and Labrador,Waste,10,0.6
1999,Newfoundland and Labrador,Waste,10,0.6
2000,Newfoundland and Labrador,Waste,10,0.6
2001,Newfoundland and Labrador,Waste,10,0.6
2002,Newfoundland and Labrador,Waste,10,0.6
2003,Newfoundland and Labrador,Waste,10,0.6
2004,Newfoundland and Labrador,Waste,10,0.6
2005,Newfoundland and Labrador,Waste,10,0.6
2006,Newfoundland and Labrador,Waste,10,0.6
2007,Newfoundland and Labrador,Waste,10,0.6
2008,Newfoundland and Labrador,Waste,10,0.6
2009,Newfoundland and Labrador,Waste,10,0.5
2010,Newfoundland and Labrador,Waste,10,0.5
2011,Newfoundland and Labrador,Waste,10,0.5
2012,Newfoundland and Labrador,Waste,10,0.5
2013,Newfoundland and Labrador,Waste,10,0.5
2014,Newfoundland and Labrador,Waste,10,0.5
2015,Newfoundland and Labrador,Waste,10,0.5
2016,Newfoundland and Labrador,Waste,10,0.5
2017,Newfoundland and Labrador,Waste,10,0.5
2018,Newfoundland and Labrador,Waste,10,0.6
2019,Newfoundland and Labrador,Waste,10,0.6
2020,Newfoundland and Labrador,Waste,10,0.6
2021,Newfoundland and Labrador,Waste,10,0.6
1990,Newfoundland and Labrador,Coal Production,10,0.0
1991,Newfoundland and Labrador,Coal Production,10,0.0
1992,Newfoundland and Labrador,Coal Production,10,0.0
1993,Newfoundland and Labrador,Coal Production,10,0.0
1994,Newfoundland and Labrador,Coal Production,10,0.0
1995,Newfoundland and Labrador,Coal Production,10,0.0
1996,Newfoundland and Labrador,Coal Production,10,0.0
1997,Newfoundland and Labrador,Coal Production,10,0.0
1998,Newfoundland and Labrador,Coal Production,10,0.0
1999,Newfoundland and Labrador,Coal Production,10,0.0
2000,Newfoundland and Labrador,Coal Production,10,0.0
2001,Newfoundland and Labrador,Coal Production,10,0.0
2002,Newfoundland and Labrador,Coal Production,10,0.0
2003,Newfoundland and Labrador,Coal Production,10,0.0
2004,Newfoundland and Labrador,Coal Production,10,0.0
2005,Newfoundland and Labrador,Coal Production,10,0.0
2006,Newfoundland and Labrador,Coal Production,10,0.0
2007,Newfoundland and Labrador,Coal Production,10,0.0
2008,Newfoundland and Labrador,Coal Production,10,0.0
2009,Newfoundland and Labrador,Coal Production,10,0.0
2010,Newfoundland and Labrador,Coal Production,10,0.0
2011,Newfoundland and Labrador,Coal Production,10,0.0
2012,Newfoundland and Labrador,Coal Production,10,0.0
2013,Newfoundland and Labrador,Coal Production,10,0.0
2014,Newfoundland and Labrador,Coal Production,10,0.0
2015,Newfoundland and Labrador,Coal Production,10,0.0
2016,Newfoundland and Labrador,Coal Production,10,0.0
2017,Newfoundland and Labrador,Coal Production,10,0.0
2018,Newfoundland and Labrador,Coal Production,10,0.0
2019,Newfoundland and Labrador,Coal Production,10,0.0
2020,Newfoundland and Labrador,Coal Production,10,0.0
2021,Newfoundland and Labrador,Coal Production,10,0.0
1990,Newfoundland and Labrador,"Light Manufacturing, Construction and Forest Resources",10,0.4
1991,Newfoundland and Labrador,"Light Manufacturing, Construction and Forest Resources",10,0.3
1992,Newfoundland and Labrador,"Light Manufacturing, Construction and Forest Resources",10,0.2
1993,Newfoundland and Labrador,"Light Manufacturing, Construction and Forest Resources",10,0.2
