Year,Industry,Size,Value
2019,Food products,1-9 employees,0.1253336637594767
2019,Food products,10-19 employees,0.3139791691496602
2019,Food products,20-49 employees,1.143469966955311
2019,Food products,50-249 employees,5.809854203807841
2019,Food products,250 employees and more,7.126249876693117
2019,Food products,All enterprises,14.518886880365406
2019,Beverages,1-9 employees,0.0329364705820116
2019,Beverages,10-19 employees,0.0643812585050631
2019,Beverages,20-49 employees,0.2789282266805289
2019,Beverages,50-249 employees,0.8911831221583014
2019,Beverages,250 employees and more,2.5972124825775547
2019,Beverages,All enterprises,3.8646415605034594
2019,Textiles,1-9 employees,0.0550724289853485
2019,Textiles,20-49 employees,0.2147255531072245
2019,Textiles,50-249 employees,0.6408002212211069
2019,Textiles,All enterprises,1.308345160939989
2019,"Wood products, excluding furniture",1-9 employees,0.0396684896377095
2019,"Wood products, excluding furniture",10-19 employees,0.0737132284869553
2019,"Wood products, excluding furniture",20-49 employees,0.4191569496693197
2019,"Wood products, excluding furniture",50-249 employees,3.13242046433716
2019,"Wood products, excluding furniture",250 employees and more,0.7824183093840505
2019,"Wood products, excluding furniture",All enterprises,4.447377445405002
2019,Paper and paper products,1-9 employees,0.0118224772967521
2019,Paper and paper products,20-49 employees,0.1461183770978118
2019,Paper and paper products,50-249 employees,1.904573456205596
2019,Paper and paper products,All enterprises,4.514351754318541
2019,Printing and reproduction of recorded media,1-9 employees,0.035700446892153
2019,Printing and reproduction of recorded media,10-19 employees,0.0443416688268061
2019,Printing and reproduction of recorded media,20-49 employees,0.2321805721563876
2019,Printing and reproduction of recorded media,50-249 employees,1.0306401346557847
2019,Printing and reproduction of recorded media,250 employees and more,0.678154894139679
2019,Printing and reproduction of recorded media,All enterprises,2.0210177166708103
2019,Coke and refined petroleum products,1-9 employees,0.2426201569179285
2019,Coke and refined petroleum products,10-19 employees,0.2173835010566271
2019,Coke and refined petroleum products,20-49 employees,1.0464185768471836
2019,Coke and refined petroleum products,50-249 employees,5.273659809766652
2019,Coke and refined petroleum products,250 employees and more,8.277315555462893
2019,Coke and refined petroleum products,All enterprises,15.057397603941087
2019,Rubber and plastics products,1-9 employees,0.0281233983719446
2019,Rubber and plastics products,10-19 employees,0.0773906054002347
2019,Rubber and plastics products,20-49 employees,0.3440941253955545
2019,Rubber and plastics products,50-249 employees,2.3788057210971
2019,Rubber and plastics products,250 employees and more,2.0912997580228825
2019,Rubber and plastics products,All enterprises,4.919713604397909
2019,Other non-metallic mineral products,1-9 employees,0.1510229025615779
2019,Other non-metallic mineral products,20-49 employees,0.5345334931058616
2019,Other non-metallic mineral products,50-249 employees,1.9698933484921708
2019,Other non-metallic mineral products,All enterprises,3.27030588197952
2019,Basic metals,1-9 employees,0.0140231122999744
2019,Basic metals,10-19 employees,0.0311069815190598
2019,Basic metals,20-49 employees,0.1681482098952335
